tr isim,os_isim ,ebced,mağribi ebced,,,,
Zuhal, زُحَل,45,45,,,,
Zübeyr, زُبیر,219,219,,,,
Zühra, زُهره,217,217,,,,
Hüdavendigar, خداوندگار,886,886,,,,
Beyazit, بايزيد,34,34,,,,
Vahdettin, وحيد الدين,123,123,,,,
Vahdeddin, وحيد الدين,123,123,,,,
Maşite, ماشطه,355,1055,,,,
Azem, عازم,118,118,,,,
sera, سرا,261,501,,,,
Alya, عليا,111,111,,,,
Gülfem, گلفام,171,171,,,,
Mihrimah, مهرماه,291,291,,,,
